key,value
372, 平等里櫻花
373, 馬廷英故居
374, 臺鐵臺北車站
375, 基隆河左右岸親水自行車道
376, 南門市場
377, 臺北賓館
378, 臺大醫院西址院區
379, 國父紀念館
380, 遼寧街夜市
381, 基隆廟口
382, 紀州庵文學森林
383, 新店溪
384, 建國假日玉市
385, 十分老街
386, 松山火車站
387, 光點臺北
388, 關渡_金色水岸_八里左岸自行車道
389, 遼寧公園
390, 臺北市藝文推廣處
391, 南港山系-更寮古道親山步道
392, 臺北魚市
393, 陽明山國家公園
394, 小南門
395, 雙城街夜市
396, 富陽自然生態公園
397, 蘆洲李氏古厝
398, 富錦街
399, 長榮海事博物館
400, 甘樂文創展演空間
401, 寶藏巖
402, 青年公園
403, 大直植福宮
404, 太原五百完人紀念建築群
405, 孫運璿科技．人文紀念館
406, 西園29服飾創作基地
407, 西門紅樓
408, 大安森林公園
409, 板橋435藝文特區
410, 象山公園
411, 國立臺灣藝術教育館
412, 建國假日花市
413, 菸酒專賣局
414, 愛國東路婚紗街
415, 臺北市立天文科學教育館
416, 殷海光故居
417, 國立臺灣博物館 
418, 雲門劇場
419, 福利社 FreeS Art Space
420, 台北霞海城隍廟
421, 興旺公園
422, 金山金包里老街
423, 白石湖吊橋
424, 和興炭坑
425, 王大閎建築劇場
426, 龍洞灣
427, 碧山巖開漳聖王廟
428, 大龍峒保安宮
429, 臺北偶戲館
430, 迪化街郵局
431, 臺北市鄉土教育中心_剝皮寮歷史街區
432, 臺北數位藝術中心
433, 和平青草園
434, 烏來瀑布‧空中纜車
435, 西本願寺廣場
436, 芝山巖惠濟宮
437, 北投溫泉博物館 
438, 文山公民會館
439, 台開築空間 ARKI GALÉRIA
440, 冷水坑溫泉區
441, 西門町徒步區
442, 板橋後站商圈
443, 疏洪荷花公園
444, 敘舊布袋戲園
445, 水湳洞遊客中心/山城食堂
446, 牯嶺街小劇場
447, 華山1914文化創意產業園區
448, 中油藝廊
449, Kidsawesome奧森兒童博物館
450, 芝山公園
451, 十方樂集音樂劇場
452, 二二八國家紀念館 
453, 海關博物館
454, 郊山友台URS27M
455, 中山堂
456, 華江碼頭
457, 五指山系-大崙頭尾山親山步道
458, 非畫廊Beyond Gallery
459, 艋舺龍山文創B2
460, 三峽老街
461, 臺北國際藝術村
462, 赤粒藝術
463, 樟山寺
464, 艋舺公園
465, 秋刀魚藝術中心
466, 馬場町紀念公園
467, 聲音光年
468, 九份老街
469, Art Space 金魚空間
470, 湧蓮寺
471, 自由巷及鄭南榕紀念館
472, 猴硐
473, 二格山系-仙跡岩親山步道
474, 仙岩公園
475, 臨江街觀光夜市
476,二坑隧道
477, 黃正南薄胎瓷碗工作室
478, 南天母山系步道
479, 虎寮潭
480, 十三行博物館考古文化村
481, 坪林親水吊橋
482, 黃金水圳橋
483, 楓樹湖登山步道
484, 新莊慈祐宮
485, 澳底公有零售市場
486, 南樹林火車站
487, 瑞芳火車站
488, 水田園農莊民宿
489, 澳底仁和宮
490, 淡水河堤生態區
491, 光淙金工藝術館
492, 金包里大路
493, 新莊國民運動中心
494, 辭職嶺登山步道
495, 雲之湯溫泉館
496, 樂山活動中心
497, 石碇天后宮
498, 愛琴海太平洋溫泉會館
499, 牡丹車站
500, 淡水外僑墓園
501, 永和商圈
502, 汐止金龍湖環湖步道
503, 瑞三本礦口
504, 龜吼漁港
505, 無耳茶壺山步道
506, 淡水金色水岸
507, 板橋車站
508, 水資源生態教育館
509, 卯澳漁港
510, 後村圳紀念碑
511, 承天禪寺
512, 新山夢湖
513, 烏來紅河谷
514, 美麗永安生活館
515, 三重神農大帝祭
516, 富貴角風稜石
517, 二龍山登山步道
518, 先嗇宮
519, 北勢溪古道
520, 金山遊客中心
521, 宏德宮
522, 玫瑰公園
523, 跳石海岸
524, 粗坑口登山步道
525, 文山社
526, 灣潭步道
527, 大桶山登山步道
528, 青潭尖
529, 新北市立鶯歌陶瓷博物館
530, 天池溫泉館
531, 龜山營地
532, 天祥寶塔禪寺
533, 出磺口農場
534, 龜吼漁夫市集
535, 烏月登山步道
536, 安和國際觀光夜市
537, 觀音山遊客中心
538, 許願河岸咖啡館
539, 新莊文化藝術中心
540, 新店區屈尺道碣
541, 三峽拱橋
542, 連舉人古厝
543, 苧仔潭古道
544, 萬金文溫泉民宿
545, 汐止林森攤集場
546, 五股智光禪寺
547, 下庄公有零售市場
548, 疏洪生態公園
549, 坪林商圈
550, 保福宮
551, 柴寮古道
552, 草嶺古道
553, 馬偕墓園
554, 三個磅空自行車道
555, 汐止觀光攤集場
556, 滬尾藝文休閒園區
557, 滬尾礮臺
558, 千戶傳奇生態農場
559, 二坪頂登山步道
560, 山尖路步道
561, 岐山巖
562, 林本源園邸
563, 綠光河岸公園
564, 潮江寺福德祠
565, 石碇商圈
566, 淡水中山公有零售市場
567, 亨利屋
568, 台灣不二衛生套知識館
569, 紫禁城博物館
570, 菁桐電子天燈館
571, 柑園生態河濱公園
572, 璞石麗緻溫泉會館
573, 藍染遊客服務中心
574, 外南勢角山
575, 雲門劇場
576, 新北市立圖書館三重分館
577, 三空泉
578, 水湳洞
579, 樹林海明寺
580, 山佳河濱公園
581, 中角灣
582, 廣明寺
583, 賞螢步道
584, 金山老街
585, 堤畔溫泉民宿
586, 蓮花
587, 景明亭
588, 祖師巖登山步道
589, 薯榔尖步道
590, 土埆厝
591, 大尖山—秀峰瀑布登山步道
592, 新北市市民廣場
593, 歐陽彥城
594, 水口民主公王廟
595, 忠魂碑
596, 樹林體育場
597, 九芎根步道
598, 白宮行館
599, 燭臺雙嶼
600, 烏來泰雅民族博物館
601, 八里渡船頭
602, 平湖森林步道
603, 馬崗漁港
604, 李德安 
605, 板橋農村公園
606, 米倉國小
607, 深坑公有零售市場
608, 獅頭山
609, 雲仙樂園
610, 淡水文化園區-殼牌倉庫
611, 新北市立圖書館
612, 新莊體育館
613, 滬尾櫻花大道
614, 紫微聖母環山步道
615, 土城第二市民農園
616, 大華壺穴
617, 烏來吊橋
618, 陳萬乞古厝
619, 北勢溪自行車道
620, 新店捷運站旅遊服務中心
621, 圓通寺登山步道
622, 興南夜市
623, 溪洲運動河濱公園
624, 廖雪玉
625, 石筍尖步道
626, 樹林體育園區
627, 猴硐遊客中心
628, 九份老街
629, 林建生紀念圖書館
630, 燦光寮登山步道
631, 萬善同
632, 烘爐地登山步道
633, 前清英國領事館
634, 大板根渡假酒店
635, 金字碑登山步道
636, 
637, 鎮南宮
638, 國旗嶺
639, 翁偉峯與許欣茹 
640, 新莊牡丹心生態公園
641, 祈堂老街
642, 淡水藝術工坊
643, 風芝門自行車道
644, 雲頂民宿
645, 得忌利士商行
646, 大漢溪自行車道
647, 三鶯二橋
648, 六扇門顏家茶館
649, 福隆車站
650, 國泰橋
651, 本山五坑
652, 硬漢嶺
653, 蘆洲慈惠堂
654, 烏來老街
655, 五番坑
656, 屈尺水岸
657, 三峽區公有零售市場
658, 永和國民運動中心
659, 磺嘴山
660, 長福巖
661, 卯澳漁村
662, 礦工宿舍
663, 九份金礦博物館
664, 頌德公園
665, 淡水登峰魚丸博物館一館
666, 武聖廟
667, 炮子崙步道
668, 雙溪商圈
669, 龍泉溪系步道
670, 坪林觀魚步道
671, 五指山柯子林古道
672, 三峽農特產文化館
673, 新北市立黃金博物館
674, 萬里飛行傘基地
675, 鴛鴦谷遊樂園
676, 台灣Panasonic展示館
677, 天上山系步道支線-清溪步道
678, 金色水岸自行車道
679, 蘆洲國民運動中心
680, 菁桐一坑口聚落
681, 新北市立圖書館板橋江子翠分館
682, 板橋動物之家
683, 坪林旅遊服務中心
684, 基山街
685, 選洗煤場
686, 風櫃嘴觀景台
687, 手信坊創意和菓子文化館
688, 平溪商圈
689, 一線天
690, 淡水漁人碼頭
691, 滬尾馬偕醫館
692, 信賢瀑布
693, 金龍山北峰寺
694, 湧蓮寺
695, 簡單生活藍染工作室
696, 新北市藝文中心
697, 凌雲禪寺
698, 鳳福公園
699, 瑠公圳引水石硿
700, 茄苳瀑布
701, 新太源藝術工坊
702, 樹林區鎮南宮
703, 三重中央公有零售市場
704, 松子腳砲臺遺址
705, 永和樂華夜市
706, 德林寺
707, 烏來輕井澤溫泉旅館
708, 中和樂天宮
709, 大棟山
710, 土城媽祖田運動公園
711, 員山公有零售市場
712, 板橋萬坪公園
713, 北海岸及觀音山國家風景區
714, 山仔頂登山步道
715, 淡水重建街
716, 外按古道
717, 吊腳樓
718, 大自然農園
719, 雙溪渡船頭
720, 石門峽
721, 新北市立板橋體育場
722, 三芝田心
723, 碧華布街
724, 雙溪老街
725, 淡水福佑宮
726, 濂洞國小彩繪溜滑梯
727, 番子坑步道
728, 佛光山石門北海道場
729, 水碓觀景公園
730, 飄移卡丁車
731, 三空泉登山步道資料
732, 茶山地區支線
733, 張家古厝
734, 大豐煤礦1號坑
735, 西龍巖寺
736, 粗坑仔
737, 大棟山與石灰坑山
738, 海山宮
739, 吳家兄弟樂天農場
740, 胡桶古道A
741, 音樂公園
742, 三芝三板橋
743, 新店臺北菸廠鍋爐間及煙囪
744, 鹿堀
745, 龍山岩石景浮雕
746, 輔大花園觀光夜市
747, 慈航紀念堂
748, 瑪鋉漁港
749, 中和慈安宮
750, 保安陸橋
751, 保和宮
752, 普陀山步道
753, 三峽歷史文物館
754, 金水公路
755, 宏洲磁磚觀光工廠
756, 樹林保安臨時攤販集中區
757, 獅仔頭山
758, 淡水紅樓
759, 三協成糕餅博物館
760, 坪林臺灣油杉自然保留區
761, 格頭雲瀑
762, 慈母峰步道
763, 新莊青年公園
764, 新北市立十三行博物館
765, 獅子頭隘口
766, 員山公園
767, 龍巖宮祖師廟
768, 身聲演繹劇場
769, 福山宮
770, 中和竟南宮
771, 麗林公有零售市場
772, 天秀宮
773, 大同山登山步道
774, 楓樹湖
775, 張淑敏
776, 新莊廟街商圈
777, 新北市立圖書館林口東勢閱讀室
778, 桃樂絲森林
779, 魚藏文化館
780, 國聖仁和宮
781, 馬公友誼運動公園
782, 北新有機休閒農場
783, 馬偕租屋處
784, 八里風帆碼頭
785, 金溪駐在所
786, 金瓜三號
787, 左岸八里碼頭
788, 源茂山登山步道
789, 江子翠河口景觀河濱公園
790, 伊豆商店
791, 觀音巖
792, 廣興河濱公園
793, 蘆洲功學社音樂廳KHS Hall
794, 溪洲公有零售市場
795, 雲森瀑布
796, 石門情人廟
797, 福容大飯店 淡水漁人碼頭
798, 林口運動公園
799, 新北市軍人忠靈祠
800, 鄞山寺
801, 太極嶺
802, 十分老街
803, 平溪老街
804, 板橋慈惠宮
805, 秀峰山靜修禪院
806, 梅花湖
807, 樹林車站
808, 烏來社區至保慶宮登山步道
809, 世界宗教博物館
810, 聖明宮
811, 福成宮媽祖廟
812, 富貴角
813, 磺港漁港
814, 直潭山登山步道
815, 石碇西街
816, 三重國民運動中心
817, 青島武館
818, 北園里─陳家古厝
819, 九芎公廟
820, 白馬寺
821, 
822, 三重林氏古厝
823, 復興公園
824, 後村堰
825, 豐林礦坑遺址
826, 拱北殿
827, 五股龍鳳巖
828, 中和瑞穗配水池
829, 新海人工濕地
830, 五股集福宮福德爺
831, 石碇老街
832, 聖南寺
833, 南山寺
834, 龍門溫泉民宿
835, 新莊廟街夜市
836, 文武大眾爺廟
837, 海洋資源復育園區
838, 源興居
839, 烏來瀑布
840, 中港大排親水步道
841, 鳶山公園
842, 後厝漁港
843, 
844, 碧潭公有零售市場
845, 白雞行修宮
846, 小赤壁
847, 張正齡
848, 小粗坑遺址
849, 中興福德宮
850, 淡水老街
851, 基隆山
852, 國定十三行遺址
853, 阿屘坑山登山步道
854, 淡水漁人碼頭自行車道
855, 忠孝碼頭
856, 明志書院
857, 猴硐煤礦博物園區
858, 土城公有零售市場
859, 鹽寮抗日紀念碑
860, 淡江大學
861, 太璞宮
862, 二號倉庫．文創
863, 米倉公園
864, 坪林老街
865, 碧潭吊橋
866, 青年公園登山步道
867, 三鶯陶花源
868, 成福山登山步道
869, 平溪郵局老郵筒
870, 復興礦坑口
871, 五城山
872, 蘆洲護天宮
873, 全安宮
874, 新北市政府行政大樓
875, 江璞亭公祖祠堂
876, 太平宮
877, 平溪車站
878, 筆架及炙子頭山登山步道
879, 二重環狀自行車道
880, 興福寮登山步道
881, 猴硐貓橋
882, 大羅蘭溪
883, 滴水觀音
884, 秀峰瀑布
885, 礁溪公有零售市場
886, 鶯歌公有零售市場
887, 雄鎮蠻煙碑
888, 牛軋糖創意博物館
889, 鬼子瀨尖-源茂山登山步道
890, 德興居
891, 新板藝廊
892, 林棟燦
893, 草茅地母廟
894, 海藏寺
895, 綠光農園
896, 富貴角燈塔
897, 山城美館展演藝廊
898, 林口公有零售市場
899, 桃源谷
900, 鹿角溪人工溼地
901, 一滴水紀念館
902, 溝仔墘老街牌樓
903, 中和道行宮
904, 金山萬里溫泉
905, 觀海長堤
906, 臺灣電力公司北部展示館
907, 李天祿布袋戲文物館
908, 吳福洋襪子故事館
909, 石碇北宜公路
910, 湳仔溝自行車道
911, 黃金瀑布
912, 富貴角藝術園區
913, 板橋火車站旅遊服務中心
914, 湊合賞鳥區
915, 智成堂
916, 報時山
917, 林泉成古厝
918, 水湳洞漁港
919, 姜子頭展望臺
920, 鼻頭漁港
921, 雙溪低碳驛站
922, 石門風力發電站
923, 銀河洞登山步道
924, 新北市客家文化園區
925, 連橫墓園
926, 許新旺陶瓷紀念博物館
927, 菁桐礦業生活館
928, 月老和合二仙殿
929, 火燄山系步道
930, 野柳漁港
931, 文山農場
932, Mimosa皮革文化館
933, 文筆山系步道
934, 瑞芳美食廣場
935, 牛角坑生態休閒農莊
936, 碧潭風景區
937, 林添禎銅像
938, 東園里─鄭家古厝
939, 山腳頂山與瓊子湖山
940, 翠湖步道
941, 淡水中正觀光市場
942, 福隆遊客服務中心
943, 樹梅坑登山步道
944, 枋橋建學碑
945, 開天宮
946, 琉傳天下藝術館
947, 三鶯藝術村
948, 鹿窟事件紀念公園
949, 蝙蝠洞公園
950, 褔安居
951, 四九迷宮花園
952, 金山第一公有零售市場
953, 霞海城隍廟
954, 直潭淨水廠
955, 深澳漁港海天步道
956, 鐵道地景公園
957, 新莊保元宮
958, 筠園-鄧麗君墓園
959, 貢噶精舍
960, 左岸劇場
961, 丁蘭谷
962, 枋寮公有零售市場
963, 竹林山觀音寺
964, 新生公有零售市場
965, 三峽紫微天后宮
966, 五重溪瀑布
967, 平林村東和登山步道
968, 石門代天府聖明宮
969, 旗竿湖
970, 燕子湖風景區
971, 淡水泰迪熊博物館
972, 金山禪寺
973, 永續環境教育中心
974, 新北市坪林茶業博物館
975, 光明公有零售市場
976, 三貂嶺步道
977, 辰光橋
978, 淺水灣海濱公園
979, 東勢格越嶺步道
980, 九份文史工作室
981, 鹿窟尖山
982, 熊旅溫泉飯店
983, 新北市忠烈祠
984, 土庫岳登山步道
985, 五寮尖登山步道
986, 張正男
987, 蘆洲公有零售市場
988, 陳逢顯毫芒雕刻博物館
989, 小白宮
990, 三才靈芝農場
991, 東北角暨宜蘭海岸國家風景區
992, 四腳亭車站
993, 成功國小農村文物展示中心
994, 大觀書社
995, 竹圍工作室
996, 葛思悠農場
997, 磺窟城聚落
998, 五股濕地教育中心
999, 關渡大橋
1000, 程氏古厝
1001, 安康公有零售市場
1002, 大暖尖山系步道
1003, 三芝有機農場
1004, 菁桐古道
1005, 汐止濟德宮
1006, 勸濟堂
1007, 平溪藍染工作坊
1008, 淡水海關碼頭園區
1009, 金山青年活動中心
1010, 雷朗極限探索
1011, 谷垚陶坊生活藝術館
1012, 大尖山風景區
1013, 孝子山步道
1014, 熊空溪樂樂谷
1015, 永安公有零售市場
1016, 大湖尾登源茂山-和尚髻登山步道
1017, 情人溫泉民宿
1018, 萬金龍溫泉民宿
1019, 野柳地質公園
1020, 鄒家一條龍
1021, 九份愛的物語咖啡館
1022, 烏來林業生活館
1023, 府中15新北市動畫故事館暨新北市紀錄片放映院
1024, 桶後溪
1025, 滬尾休閒農業區
1026,  老梅迷宮
1027, 淡水漁人舞台
1028, 理學堂大書院
1029, 聖明宮千年雀榕
1030, 忠義廟
1031, 瑞慈宮
1032, HA SOCK襪子娃娃專賣店
1033, 李梅樹紀念館
1034, 滴水觀音步道
1035, 大同山地母廟
1036, 尖山湖紀念碑
1037, 插天山自然保留區
1038, 金湯溫泉會館
1039, 直潭壩
1040, 淡海輕軌幾米公共藝術
1041, 挖子尾自然保留區
1042, 三貂角燈塔
1043, 甘露寺至安坑山步道
1044, 八二三紀念公園
1045, 八里文化公園
1046, 新店獅仔頭山隘勇線
1047, 泰平假日農夫市集
1048, 舊金山總督溫泉
1049, 新北市立圖書館林口分館 
1050, 南天花苑
1051, 平溪石底橋
1052, 日興宮
1053, 雙溪公有零售市場
1054, 汐止黃昏攤集場
1055, 公司田溪橋
1056, 金山威靈宮
1057, 麟山鼻自行車道
1058, 茶山步道
1059, 水聳淒坑登山步道
1060, 汐止國民運動中心
1061, 義學坑自然生態公園
1062, 福容大飯店淡水漁人碼頭分店
1063, 保慶宮至公三公園步道
1064, 翡翠水庫
1065, 雞罩山
1066, 鹽寮海濱公園
1067, 白雲古道
1068, 龍門公園
1069, 關渡媽祖石
1070, 鶯歌窯陶瓷廣場－良之燒
1071, 太子賓館
1072, 五分山步道
1073, 青雲路至圓通寺步道
1074, 龍源農場
1075, 鶯歌石與牛灶坑山
1076, 海山里福德宮
1077, 土城廣承岩寺
1078, 金山海灣溫泉HOTEL
1079, 東興宮
1080, 炮子崙瀑布
1081, 猴硐貓咪資訊站
1082, 虎寮潭吊橋
1083, 博愛藝術街
1084, 蘆堤寵物公園
1085, 大有製墨廠
1086, 八里五福宮
1087, 新莊地藏庵
1088, 李茂岸
1089, 拉號人文生態步道
1090, 綠野馬術俱樂部
1091, 昇平戲院
1092, 八連溪紅葉谷
1093, 國際終戰和平紀念園區
1094, 中和碧河宮
1095, 綠寶石河濱公園
1096, 秀山大飯店
1097, 文昌祠
1098, 香草街屋
1099, 樹林抗日先烈十三公紀念墓園
1100, 雅筑染采
1101, 板橋435藝文特區
1102, 石門金剛宮
1103, 桶後越嶺步道
1104, 白沙灣海水浴場
1105, 蟾蜍山步道
1106, 尋雲號
1107, 滬尾水道
1108, 水尾漁港
1109, 老梅石槽
1110, 四廣潭
1111, 菁桐煤礦紀念公園
1112, 代天府
1113, 烏來遊仙登山步道
1114, 長仁社區廢煙管
1115, 新店大碧潭商圈
1116, 八里左岸公園
1117, 根德水車園區
1118, 大尖
1119, 水柳腳登山步道
1120, 二叭子植物園
1121, 布袋戲主題館
1122, 石碇姑娘廟
1123, 土城國民運動中心
1124, 龜吼海岸
1125, 碧龍宮
1126, 中和北聖宮
1127, 微風運河
1128, 青山瀑布步道
1129, 三聖宮
1130, 桐花公園
1131, 望古瀑布
1132, 綠竹園
1133, 忠厚公有零售市場
1134, 華江碼頭
1135, 石門風箏公園
1136, 三芝三生態步道
1137, 野柳海洋世界
1138, 雙溪區自行車道
1139, 獅頭山公園
1140, 四腳亭砲臺登山步道
1141, 三重綜合運動場
1142, 幸福農莊
1143, 潤濟宮
1144, 筆架山
1145, 員山子分洪道
1146, 永安步道
1147, 米市巷
1148, 淡水氣候觀測所
1149, 南雅奇岩
1150, 碧華寺
1151, 猴硐坑
1152, 天佛禪寺
1153, 鶯歌石與長壽步道
1154, 林口婦幼公園
1155, 磅坑口
1156, 十分風景特定區
1157, 長青溫泉
1158, 石碇百年石頭屋
1159, 西盛環保河濱公園
1160, 新店文史館
1161, 八番坑
1162, 蛇窯煙囪
1163, 猴硐神社
1164, 樹林夜市
1165, 深坑橋碑
1166, 八里國小「御大禮記念樹」石碑
1167, 陽光運動公園
1168, 獅子公園
1169, 馬崗潮間帶
1170, 登峰魚丸博物館
1171, 水晶博物館
